# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.09400000 16661712.00000000 284915.28125000
0.09500001 15981272.00000000 345195.50000000
0.09600000 15319537.00000000 312058.96875000
0.09700000 14676024.00000000 280458.81250000
0.09800000 14050120.00000000 208644.29687500
0.09900001 13441168.00000000 322588.06250000
0.10000000 12849368.00000000 214134.71875000
0.10100000 12274088.00000000 281690.34375000
0.10200001 11715427.00000000 325806.03125000
0.10300001 11173274.00000000 244024.32812500
0.10400000 10647671.00000000 184470.90625000
0.10500000 10138886.00000000 193449.95312500
0.10600001 9646757.00000000 247728.73437500
0.10700001 9171728.00000000 237731.20312500
0.10800000 8713580.00000000 170960.43750000
0.10900000 8272871.00000000 177453.09375000
0.11000001 7849541.50000000 169903.34375000
0.11100001 7443713.00000000 125054.39062500
0.11200000 7055530.00000000 143509.48437500
0.11300001 6685041.50000000 125745.63281250
0.11400001 6332432.00000000 142004.79687500
0.11500000 5997701.50000000 114796.00781250
0.11600000 5680695.50000000 119635.45312500
0.11700001 5381419.50000000 104776.24218750
0.11800001 5099645.50000000 100131.54687500
0.11900000 4835287.50000000 95738.69531250
0.12000000 4588056.50000000 99927.87500000
0.12100001 4357776.50000000 87722.04687500
0.12200001 4143919.25000000 107037.44531250
0.12300000 3946201.75000000 117438.96875000
0.12400001 3763945.75000000 91746.17968750
0.12500000 3596930.00000000 88376.57031250
0.12600000 3444571.50000000 91866.72656250
0.12700000 3306136.25000000 69825.60156250
0.12800001 3181050.00000000 73863.98437500
0.12900001 3068668.50000000 59839.03906250
0.13000001 2968344.25000000 75826.35937500
0.13100001 2879225.50000000 62709.53906250
0.13200000 2800677.75000000 72635.57812500
0.13300000 2731920.75000000 71385.09375000
0.13400000 2672138.75000000 54110.81250000
0.13500001 2620631.75000000 80191.33593750
0.13600001 2576615.50000000 79424.17968750
0.13700001 2539267.25000000 63075.40234375
0.13800001 2507826.50000000 52288.18750000
0.13900001 2481692.75000000 99019.54687500
0.14000000 2459965.75000000 62433.92968750
0.14100000 2442105.50000000 62420.21875000
0.14200000 2427209.00000000 83301.81250000
0.14300001 2414889.25000000 62593.93359375
0.14400001 2404383.75000000 57524.88281250
0.14500001 2395103.75000000 57698.05468750
0.14600001 2386678.00000000 84202.00781250
0.14700000 2378426.00000000 58081.16406250
0.14800000 2369971.25000000 84750.17187500
0.14900000 2360830.50000000 69054.29687500
0.15000001 2350775.50000000 63894.08203125
0.15100001 2339363.50000000 69338.73437500
0.15200001 2326410.25000000 64069.34375000
0.15300001 2311583.75000000 80096.38281250
0.15400001 2294729.00000000 85363.92968750
0.15500000 2275724.75000000 58577.15625000
0.15600000 2254399.50000000 63709.33203125
0.15700001 2230768.00000000 74016.88281250
0.15800001 2204707.75000000 52582.28125000
