Index,r0(A),P(r)
1,0.0,nan
2,0.9,0.0029242098524283593
3,1.8,0.011452216161370486
4,2.7,0.024896210126557454
5,3.6,0.04225415688878105
6,4.5,0.062395833801482566
7,5.4,0.0842687113298098
8,6.3,0.10708249596099643
9,7.2,0.1304354765189685
10,8.1,0.1543575414281537
11,9.0,0.1792615177650001
12,9.9,0.20581296127559667
13,10.8,0.2347449957071947
14,11.700000000000001,0.26665595513965673
15,12.6,0.3018311813322089
16,13.5,0.34012563739030394
17,14.4,0.3809319457800873
18,15.3,0.4232414433547736
19,16.2,0.4657872636118078
20,17.1,0.5072420178310919
21,18.0,0.5464316370718904
22,18.900000000000002,0.5825235585190391
23,19.8,0.6151523716496315
24,20.7,0.64445830271986
25,21.6,0.6710310680315047
26,22.5,0.6957702509445528
27,23.400000000000002,0.7196897470619253
28,24.3,0.7437047185663345
29,25.2,0.7684427447533115
30,26.1,0.7941158240297824
31,27.0,0.8204775993470709
32,27.900000000000002,0.8468731165286209
33,28.8,0.8723700046056398
34,29.7,0.8959438729999276
35,30.6,0.9166801602851928
36,31.5,0.9339517334447188
37,32.4,0.9475367800010995
38,33.300000000000004,0.9576538693147357
39,34.2,0.9649079727328167
40,35.1,0.9701592991347588
41,36.0,0.9743423726328746
42,36.9,0.9782727140548833
43,37.800000000000004,0.9824807924850887
44,38.7,0.9871071384218806
45,39.6,0.9918798429666134
46,40.5,0.9961786913307352
47,41.4,0.9991723520829128
48,42.300000000000004,1.0
49,43.2,0.997959564238951
50,44.1,0.9926633547986736
51,45.0,0.9841284482986836
52,45.9,0.9727825876482763
53,46.800000000000004,0.9593837684905097
54,47.7,0.9448696094773806
55,48.6,0.9301673694696709
56,49.5,0.9160040354567746
57,50.4,0.9027564512559252
58,51.300000000000004,0.8903737928229494
59,52.2,0.8783902901007143
60,53.1,0.8660277979140334
61,54.0,0.8523692972702631
62,54.9,0.8365694165899467
63,55.800000000000004,0.818059683265202
64,56.7,0.7967062370839118
65,57.6,0.7728862790813811
66,58.5,0.747465005880712
67,59.4,0.7216741982293494
68,60.300000000000004,0.6969131792902853
69,61.2,0.6745086504316994
70,62.1,0.6554787700074644
